iter	Passed	Remaining
420	2413	1599
421	2419	1593
422	2424	1587
423	2429	1581
424	2434	1575
425	2440	1569
426	2445	1563
427	2450	1557
428	2456	1551
429	2461	1545
430	2467	1539
431	2472	1533
432	2478	1528
433	2483	1522
434	2489	1516
435	2494	1510
436	2500	1504
437	2507	1499
438	2513	1494
439	2519	1488
440	2525	1482
441	2531	1477
442	2537	1472
443	2543	1466
444	2549	1460
445	2554	1454
446	2560	1448
447	2565	1443
448	2571	1437
449	2576	1431
450	2582	1425
451	2588	1420
452	2594	1414
453	2600	1408
454	2605	1403
455	2611	1397
456	2618	1392
457	2624	1386
458	2629	1380
459	2635	1375
460	2641	1369
461	2647	1363
462	2652	1357
463	2658	1352
464	2664	1346
465	2670	1340
466	2676	1335
467	2682	1329
468	2688	1323
469	2694	1318
470	2700	1312
471	2706	1307
472	2712	1301
473	2718	1296
474	2723	1290
475	2729	1284
476	2735	1278
477	2741	1273
478	2747	1267
479	2752	1261
480	2758	1256
481	2763	1250
482	2769	1244
483	2774	1238
484	2780	1232
485	2786	1226
486	2791	1221
487	2797	1215
488	2803	1209
489	2809	1203
490	2814	1198
491	2821	1192
492	2827	1187
493	2833	1181
494	2839	1175
495	2845	1170
496	2851	1164
497	2857	1158
498	2862	1153
499	2868	1147
500	2874	1141
501	2880	1135
502	2885	1130
503	2891	1124
504	2897	1118
505	2903	1113
506	2908	1107
507	2914	1101
508	2920	1095
509	2926	1090
510	2932	1084
511	2938	1078
512	2944	1073
513	2949	1067
514	2955	1061
515	2961	1055
516	2966	1050
517	2972	1044
518	2978	1038
519	2983	1032
520	2989	1027
521	2995	1021
522	3002	1016
523	3008	1010
524	3015	1005
525	3021	999
526	3027	993
527	3033	988
528	3039	982
529	3044	976
530	3050	970
531	3055	964
532	3061	959
533	3066	953
534	3072	947
535	3077	941
536	3082	935
537	3088	929
538	3093	924
539	3099	918
540	3104	912
541	3110	906
542	3115	900
543	3121	895
544	3126	889
545	3131	883
546	3136	877
547	3142	871
548	3147	865
549	3153	859
550	3158	854
551	3164	848
552	3169	842
553	3174	836
554	3180	830
555	3186	825
556	3191	819
557	3196	813
558	3202	807
559	3208	802
560	3213	796
561	3220	790
562	3226	785
563	3232	779
564	3238	773
565	3243	767
566	3249	762
567	3255	756
568	3260	750
569	3266	745
570	3272	739
571	3277	733
572	3283	727
573	3288	721
574	3294	716
575	3300	710
576	3305	704
577	3311	698
578	3316	693
579	3322	687
580	3327	681
581	3333	675
582	3338	669
583	3344	664
584	3349	658
585	3355	652
586	3360	646
587	3366	641
588	3371	635
589	3377	629
590	3382	623
591	3387	618
592	3393	612
593	3398	606
594	3404	600
595	3409	595
596	3415	589
597	3420	583
598	3426	577
599	3431	571
600	3438	566
601	3443	560
602	3449	554
603	3454	549
604	3459	543
605	3465	537
606	3471	531
607	3476	526
608	3482	520
609	3487	514
610	3493	508
611	3500	503
612	3505	497
613	3511	491
614	3517	486
615	3524	480
616	3530	474
617	3535	469
618	3541	463
619	3547	457
620	3553	452
621	3559	446
622	3564	440
623	3570	434
624	3575	429
625	3581	423
626	3587	417
627	3593	411
628	3598	406
629	3604	400
630	3609	394
631	3615	389
632	3621	383
633	3627	377
634	3632	371
635	3638	366
636	3644	360
637	3650	354
638	3656	349
639	3662	343
640	3667	337
641	3673	331
642	3678	326
643	3684	320
644	3690	314
645	3695	308
646	3701	303
647	3707	297
648	3712	291
649	3718	286
650	3724	280
651	3729	274
652	3735	268
653	3740	263
654	3746	257
655	3751	251
656	3756	245
657	3762	240
658	3767	234
659	3773	228
660	3779	222
661	3784	217
662	3790	211
663	3795	205
664	3801	200
665	3806	194
666	3811	188
667	3817	182
668	3822	177
669	3828	171
670	3834	165
671	3840	160
672	3846	154
673	3852	148
674	3858	142
675	3863	137
676	3868	131
677	3874	125
678	3879	119
679	3884	114
680	3889	108
681	3895	102
682	3900	97
683	3906	91
684	3912	85
685	3917	79
686	3923	74
687	3928	68
688	3934	62
689	3939	57
690	3945	51
691	3951	45
692	3956	39
693	3962	34
694	3968	28
695	3973	22
696	3979	17
697	3984	11
698	3990	5
699	3997	0
