iter	Accuracy	Logloss
406	0.8715846995	0.2933026407
407	0.8717285016	0.2930626028
408	0.8714408973	0.2927360647
409	0.8717285016	0.2924298419
410	0.8720161058	0.2921424897
411	0.8723037101	0.2919411203
412	0.8728789186	0.2916335726
413	0.8727351165	0.2913428701
414	0.8728789186	0.291175748
415	0.8727351165	0.291019129
416	0.873310325	0.2907968043
417	0.873310325	0.290687993
418	0.873310325	0.2905158934
419	0.8734541271	0.2902871256
420	0.8738855335	0.2900098079
421	0.8740293356	0.2897483533
422	0.8740293356	0.2896309704
423	0.8740293356	0.2893850784
424	0.8743169399	0.2890676486
425	0.8743169399	0.2887900715
426	0.8747483463	0.2886403556
427	0.8747483463	0.2883606307
428	0.8753235548	0.2880350081
429	0.8751797527	0.2877022798
430	0.8760425654	0.2873738388
431	0.8761863676	0.2872010159
432	0.8761863676	0.2868985297
433	0.8761863676	0.2867271953
434	0.8761863676	0.2864300585
435	0.8758987633	0.2861384905
436	0.8760425654	0.2860158546
437	0.8763301697	0.2857418305
438	0.8763301697	0.2852941734
439	0.8767615761	0.2851809394
440	0.8773367846	0.2848703495
441	0.8771929825	0.2847167115
442	0.8771929825	0.2846095104
443	0.8774805867	0.2843699086
444	0.877768191	0.2842040018
445	0.877768191	0.2838834709
446	0.8779119931	0.2836900277
447	0.8780557952	0.2835777768
448	0.8783433995	0.283170506
449	0.8786310037	0.2830034313
450	0.8787748059	0.2828426152
451	0.8787748059	0.2824458476
452	0.8792062123	0.2822903486
453	0.8792062123	0.2821575112
454	0.8794938165	0.2819798741
455	0.8793500144	0.2818370388
456	0.8793500144	0.2815451601
457	0.8792062123	0.2814331946
458	0.8796376186	0.2811819465
459	0.8797814208	0.2810464489
460	0.8799252229	0.2808299782
461	0.8799252229	0.2806072543
462	0.8802128271	0.280290978
463	0.8807880357	0.2799638991
464	0.8806442335	0.2798072083
465	0.8806442335	0.2793969451
466	0.8805004314	0.2791360841
467	0.8799252229	0.2788480876
468	0.8799252229	0.2787473822
469	0.8803566293	0.2786203238
470	0.8806442335	0.2784923159
471	0.8807880357	0.2782503883
472	0.8807880357	0.2780429601
473	0.8810756399	0.2779373044
474	0.8810756399	0.2777271177
475	0.8817946506	0.277517371
476	0.8822260569	0.2772059915
477	0.8820822548	0.2770148068
478	0.8826574633	0.2767906966
479	0.8829450676	0.276516049
480	0.8835202761	0.2762302871
481	0.8832326718	0.2760991263
482	0.8832326718	0.2759222114
483	0.8828012655	0.2757344698
484	0.8826574633	0.2755983134
485	0.8830888697	0.2753289739
486	0.8829450676	0.2750405946
487	0.8832326718	0.2749094395
488	0.883376474	0.2746661204
489	0.883376474	0.2745265529
490	0.883376474	0.2743616541
491	0.8840954846	0.2740336128
492	0.884526891	0.273724463
493	0.8843830889	0.2735929567
494	0.8843830889	0.2734875919
495	0.8848144953	0.2732905331
496	0.8849582974	0.2730121943
497	0.8852459016	0.2727836587
498	0.8851020995	0.2726990762
499	0.8852459016	0.2725014147
500	0.8852459016	0.2724022118
501	0.8852459016	0.2723142907
502	0.8859649123	0.2721107231
503	0.8855335059	0.2719527297
504	0.8853897038	0.271625465
505	0.8859649123	0.2712758867
506	0.8858211102	0.2711003853
507	0.8862525165	0.2707290249
508	0.8865401208	0.2704895173
509	0.8866839229	0.2700913333
510	0.8866839229	0.2699211425
511	0.8868277251	0.2697154906
512	0.8871153293	0.2695353736
513	0.8876905378	0.2693015636
514	0.8882657463	0.2690371669
515	0.8882657463	0.2688098586
516	0.8885533506	0.2686722524
517	0.8886971527	0.2685066035
518	0.8891285591	0.2683376719
519	0.8888409548	0.268157015
520	0.8888409548	0.2679139381
521	0.8891285591	0.2677099184
522	0.8892723612	0.2674759342
523	0.8891285591	0.2672534836
524	0.888984757	0.2670816353
525	0.8891285591	0.2669594065
526	0.8894161634	0.266771046
527	0.8894161634	0.2665842284
528	0.8895599655	0.2664091365
529	0.8897037676	0.266159785
530	0.8897037676	0.265991039
531	0.8898475697	0.2658654677
532	0.8898475697	0.2657844961
533	0.8899913719	0.2654686417
534	0.8902789761	0.2653024676
535	0.8902789761	0.2651145286
536	0.8902789761	0.2650235421
537	0.8899913719	0.2649115007
538	0.8905665804	0.264560606
